Symbol,Index,Exchange
NOVO-B.CO,C25,copenhagen
MAERSK-B.CO,C25,copenhagen
DSV.CO,C25,copenhagen
NZYM-B.CO,C25,copenhagen
VWS.CO,C25,copenhagen
CARL-B.CO,C25,copenhagen
ORSTED.CO,C25,copenhagen
COLO-B.CO,C25,copenhagen
PNDORA.CO,C25,copenhagen
DEMANT.CO,C25,copenhagen
GN.CO,C25,copenhagen
GMAB.CO,C25,copenhagen
TRYG.CO,C25,copenhagen
RBREW.CO,C25,copenhagen
DNORD.CO,C25,copenhagen
DANSKE.CO,C25,copenhagen
JYSK.CO,C25,copenhagen
ISS.CO,C25,copenhagen
FLS.CO,C25,copenhagen
CHR.CO,C25,copenhagen
AMBU-B.CO,C25,copenhagen
NKT.CO,C25,copenhagen
ROCK-B.CO,C25,copenhagen
BAVA.CO,C25,copenhagen
NETC.CO,C25,copenhagen
MMM,SP500,us
AOS,SP500,us
ABT,SP500,us
ABBV,SP500,us
ACN,SP500,us
ADBE,SP500,us
AMD,SP500,us
AES,SP500,us
AFL,SP500,us
A,SP500,us
APD,SP500,us
ABNB,SP500,us
AKAM,SP500,us
ALB,SP500,us
ARE,SP500,us
ALGN,SP500,us
ALLE,SP500,us
LNT,SP500,us
ALL,SP500,us
GOOGL,SP500,us
GOOG,SP500,us
MO,SP500,us
AMZN,SP500,us
AMCR,SP500,us
AEE,SP500,us
AEP,SP500,us
AXP,SP500,us
AIG,SP500,us
AMT,SP500,us
AWK,SP500,us
AMP,SP500,us
AME,SP500,us
AMGN,SP500,us
APH,SP500,us
ADI,SP500,us
AON,SP500,us
APA,SP500,us
APO,SP500,us
AAPL,SP500,us
AMAT,SP500,us
APP,SP500,us
APTV,SP500,us
ACGL,SP500,us
ADM,SP500,us
ARES,SP500,us
ANET,SP500,us
AJG,SP500,us
AIZ,SP500,us
T,SP500,us
ATO,SP500,us
ADSK,SP500,us
ADP,SP500,us
AZO,SP500,us
AVB,SP500,us
AVY,SP500,us
AXON,SP500,us
BKR,SP500,us
BALL,SP500,us
BAC,SP500,us
BAX,SP500,us
BDX,SP500,us
BRK.B,SP500,us
BBY,SP500,us
TECH,SP500,us
BIIB,SP500,us
BLK,SP500,us
BX,SP500,us
XYZ,SP500,us
BK,SP500,us
BA,SP500,us
BKNG,SP500,us
BSX,SP500,us
BMY,SP500,us
AVGO,SP500,us
BR,SP500,us
BRO,SP500,us
BF.B,SP500,us
BLDR,SP500,us
BG,SP500,us
BXP,SP500,us
CHRW,SP500,us
CDNS,SP500,us
CPT,SP500,us
CPB,SP500,us
COF,SP500,us
CAH,SP500,us
CCL,SP500,us
CARR,SP500,us
CVNA,SP500,us
CAT,SP500,us
CBOE,SP500,us
CBRE,SP500,us
CDW,SP500,us
COR,SP500,us
CNC,SP500,us
CNP,SP500,us
CF,SP500,us
CRL,SP500,us
SCHW,SP500,us
CHTR,SP500,us
CVX,SP500,us
CMG,SP500,us
CB,SP500,us
CHD,SP500,us
CI,SP500,us
CINF,SP500,us
CTAS,SP500,us
CSCO,SP500,us
C,SP500,us
CFG,SP500,us
CLX,SP500,us
CME,SP500,us
CMS,SP500,us
KO,SP500,us
CTSH,SP500,us
COIN,SP500,us
CL,SP500,us
CMCSA,SP500,us
FIX,SP500,us
CAG,SP500,us
COP,SP500,us
ED,SP500,us
STZ,SP500,us
CEG,SP500,us
COO,SP500,us
CPRT,SP500,us
GLW,SP500,us
CPAY,SP500,us
CTVA,SP500,us
CSGP,SP500,us
COST,SP500,us
CTRA,SP500,us
CRH,SP500,us
CRWD,SP500,us
CCI,SP500,us
CSX,SP500,us
CMI,SP500,us
CVS,SP500,us
DHR,SP500,us
DRI,SP500,us
DDOG,SP500,us
DVA,SP500,us
DAY,SP500,us
DECK,SP500,us
DE,SP500,us
DELL,SP500,us
DAL,SP500,us
DVN,SP500,us
DXCM,SP500,us
FANG,SP500,us
DLR,SP500,us
DG,SP500,us
DLTR,SP500,us
D,SP500,us
DPZ,SP500,us
DASH,SP500,us
DOV,SP500,us
DOW,SP500,us
DHI,SP500,us
DTE,SP500,us
DUK,SP500,us
DD,SP500,us
ETN,SP500,us
EBAY,SP500,us
ECL,SP500,us
EIX,SP500,us
EW,SP500,us
EA,SP500,us
ELV,SP500,us
EME,SP500,us
EMR,SP500,us
ETR,SP500,us
EOG,SP500,us
EPAM,SP500,us
EQT,SP500,us
EFX,SP500,us
EQIX,SP500,us
EQR,SP500,us
ERIE,SP500,us
ESS,SP500,us
EL,SP500,us
EG,SP500,us
EVRG,SP500,us
ES,SP500,us
EXC,SP500,us
EXE,SP500,us
EXPE,SP500,us
EXPD,SP500,us
EXR,SP500,us
XOM,SP500,us
FFIV,SP500,us
FDS,SP500,us
FICO,SP500,us
FAST,SP500,us
FRT,SP500,us
FDX,SP500,us
FIS,SP500,us
FITB,SP500,us
FSLR,SP500,us
FE,SP500,us
FISV,SP500,us
F,SP500,us
FTNT,SP500,us
FTV,SP500,us
FOXA,SP500,us
FOX,SP500,us
BEN,SP500,us
FCX,SP500,us
GRMN,SP500,us
IT,SP500,us
GE,SP500,us
GEHC,SP500,us
GEV,SP500,us
GEN,SP500,us
GNRC,SP500,us
GD,SP500,us
GIS,SP500,us
GM,SP500,us
GPC,SP500,us
GILD,SP500,us
GPN,SP500,us
GL,SP500,us
GDDY,SP500,us
GS,SP500,us
HAL,SP500,us
HIG,SP500,us
HAS,SP500,us
HCA,SP500,us
DOC,SP500,us
HSIC,SP500,us
HSY,SP500,us
HPE,SP500,us
HLT,SP500,us
HOLX,SP500,us
HD,SP500,us
HON,SP500,us
HRL,SP500,us
HST,SP500,us
HWM,SP500,us
HPQ,SP500,us
HUBB,SP500,us
HUM,SP500,us
HBAN,SP500,us
HII,SP500,us
IBM,SP500,us
IEX,SP500,us
IDXX,SP500,us
ITW,SP500,us
INCY,SP500,us
IR,SP500,us
PODD,SP500,us
INTC,SP500,us
IBKR,SP500,us
ICE,SP500,us
IFF,SP500,us
IP,SP500,us
INTU,SP500,us
ISRG,SP500,us
IVZ,SP500,us
INVH,SP500,us
IQV,SP500,us
IRM,SP500,us
JBHT,SP500,us
JBL,SP500,us
JKHY,SP500,us
J,SP500,us
JNJ,SP500,us
JCI,SP500,us
JPM,SP500,us
KVUE,SP500,us
KDP,SP500,us
KEY,SP500,us
KEYS,SP500,us
KMB,SP500,us
KIM,SP500,us
KMI,SP500,us
KKR,SP500,us
KLAC,SP500,us
KHC,SP500,us
KR,SP500,us
LHX,SP500,us
LH,SP500,us
LRCX,SP500,us
LW,SP500,us
LVS,SP500,us
LDOS,SP500,us
LEN,SP500,us
LII,SP500,us
LLY,SP500,us
LIN,SP500,us
LYV,SP500,us
LMT,SP500,us
L,SP500,us
LOW,SP500,us
LULU,SP500,us
LYB,SP500,us
MTB,SP500,us
MPC,SP500,us
MAR,SP500,us
MRSH,SP500,us
MLM,SP500,us
MAS,SP500,us
MA,SP500,us
MTCH,SP500,us
MKC,SP500,us
MCD,SP500,us
MCK,SP500,us
MDT,SP500,us
MRK,SP500,us
META,SP500,us
MET,SP500,us
MTD,SP500,us
MGM,SP500,us
MCHP,SP500,us
MU,SP500,us
